"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3751a556239286adc1256fa30060156c?OpenDocument","Monaco (Principato)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37ae25377aedc02fc1256fa2005a54d1?OpenDocument","Valle Siliciana, Valle Siciliana, Valle Mavone, Isula, Isola del Gran Sasso"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/37e5f4b51cac82cfc1256f9a004223b7?OpenDocument","Ballon-en-Bugey"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/381c78a2b9655edcc1256f9a0042285e?OpenDocument","Bastita, Bastia"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3a90eb12e1593481c1256f9a0047ce3e?OpenDocument","Castelfranco"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3b271c7bf985dfb6c1256fa3006030f4?OpenDocument","Mosso Santa Maria"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3da20716553b07cfc1256fa40048e24b?OpenDocument","Pago"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/407736882e307447c1256f9a0047bd2a?OpenDocument","Cappella (Seravezza)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40b1dd4359060a0bc1256fa300601f71?OpenDocument","Montecalvo (San Giuliano di Puglia), Mons Calvus"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40b4482454250ff4c1256f3b004d31c4?OpenDocument","Treschietto (Bagnone in Lunigiana), Traschietum, Traschiettum, Traschieto"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/40dd4554b9748c1cc1256f3b004d1ff4?OpenDocument","Taninges"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/416d3112176853a2c1256fa80054241b?OpenDocument","Albissola, Albisola Marina, Albisola"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4176a821e0465295c1256f9a0047cc9c?OpenDocument","Castelcorno (Isera)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/41eedfd519bc1a8fc1256fac003f1e0f?OpenDocument","Romagna"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/41f6639a1b9f025dc1256f9a0056d788?OpenDocument","Ciecina, Cecina (Larciano), Cecina di Lamporecchio"
